model,threshold,precision,recall,f1,accuracy,true_negative,false_positive,false_negative,true_positive,predicted_churn
Logistic Regression,0.17,0.9885109056637644,0.9965613971586281,0.992519826964672,0.985154712931497,3,128,38,11013,11141
Logistic Regression,0.171,0.9885098743267504,0.996470907610171,0.9924744265693299,0.9850652834913254,3,128,39,11012,11140
Logistic Regression,0.172,0.9885057471264368,0.9961089494163424,0.9922927840627395,0.9847075657306386,3,128,43,11008,11136
Logistic Regression,0.173,0.988501616960115,0.9957469912225138,0.9921110760492269,0.9843498479699517,3,128,47,11004,11132
Logistic Regression,0.174,0.9885893980233603,0.9956565016740566,0.9921103647265678,0.9843498479699517,4,127,48,11003,11130
Logistic Regression,0.175,0.988588372719921,0.9955660121255995,0.9920649233543734,0.98426041852978,4,127,49,11002,11129
Logistic Regression,0.176,0.988586321560169,0.9953850330286852,0.9919740283163495,0.9840815596494366,4,127,51,11000,11127
Logistic Regression,0.177,0.988585295703757,0.9952945434802281,0.9919285746494115,0.9839921302092649,4,127,52,10999,11126
Logistic Regression,0.178,0.9885832434376124,0.9951135643833138,0.9918376550169109,0.9838132713289215,4,127,54,10997,11124
Logistic Regression,0.179,0.9885832434376124,0.9951135643833138,0.9918376550169109,0.9838132713289215,4,127,54,10997,11124
Logistic Regression,0.18,0.9885811904333753,0.9949325852863994,0.9917467189825463,0.9836344124485781,4,127,56,10995,11122
Logistic Regression,0.181,0.9885801636543476,0.9948420957379422,0.991701244813278,0.9835449830084063,4,127,57,10994,11121
Logistic Regression,0.182,0.9885791366906475,0.9947516061894851,0.991655766541879,0.9834555535682347,4,127,58,10993,11120
Logistic Regression,0.183,0.9887569706781796,0.9947516061894851,0.9917452298254319,0.9836344124485781,6,125,58,10993,11118
Logistic Regression,0.184,0.9887569706781796,0.9947516061894851,0.9917452298254319,0.9836344124485781,6,125,58,10993,11118
Logistic Regression,0.185,0.9888449082403742,0.994661116641028,0.9917444850453376,0.9836344124485781,7,124,59,10992,11116
Logistic Regression,0.186,0.9888439046333783,0.9945706270925708,0.9916989984661193,0.9835449830084063,7,124,60,10991,11115
Logistic Regression,0.187,0.9888429008457801,0.9944801375441137,0.99165350778254,0.9834555535682347,7,124,61,10990,11114
Logistic Regression,0.188,0.9888418968775308,0.9943896479956565,0.9916080129940444,0.983366124128063,7,124,62,10989,11113
Logistic Regression,0.189,0.9888408927285817,0.9942991584471993,0.9915625141000767,0.9832766946878913,7,124,63,10988,11112
Logistic Regression,0.19,0.9888368743248109,0.9939372002533707,0.9913804774583691,0.9829189769272044,7,124,67,10984,11108
Logistic Regression,0.191,0.9888368743248109,0.9939372002533707,0.9913804774583691,0.9829189769272044,7,124,67,10984,11108
Logistic Regression,0.192,0.9888368743248109,0.9939372002533707,0.9913804774583691,0.9829189769272044,7,124,67,10984,11108
Logistic Regression,0.193,0.9888358692716305,0.9938467107049136,0.991334958028703,0.9828295474870328,7,124,68,10983,11107
Logistic Regression,0.194,0.9888338586222423,0.9936657316079993,0.9912439068423903,0.9826506886066894,7,124,70,10981,11105
Logistic Regression,0.195,0.9888338586222423,0.9936657316079993,0.9912439068423903,0.9826506886066894,7,124,70,10981,11105
Logistic Regression,0.196,0.9888328530259366,0.9935752420595422,0.991198375084631,0.9825612591665176,7,124,71,10980,11104
Logistic Regression,0.197,0.9888308412898577,0.9933942629626278,0.9911072992371236,0.9823824002861742,7,124,73,10978,11102
Logistic Regression,0.198,0.9888288288288288,0.9932132838657135,0.9910162069432531,0.9822035414058308,7,124,75,10976,11100
Logistic Regression,0.199,0.988825808777147,0.9929418152203421,0.9908795376557703,0.9819352530853157,7,124,78,10973,11097
Logistic Regression,0.2,0.9888248017303533,0.9928513256718849,0.9908339729986002,0.981845823645144,7,124,79,10972,11096
Logistic Regression,0.201,0.988823794502028,0.9927608361234277,0.9907884042264968,0.9817563942049723,7,124,80,10971,11095
Logistic Regression,0.202,0.988823794502028,0.9927608361234277,0.9907884042264968,0.9817563942049723,7,124,80,10971,11095
Logistic Regression,0.203,0.9888227870921219,0.9926703465749706,0.9907428313389027,0.9816669647648005,7,124,81,10970,11094
Logistic Regression,0.204,0.9888217795005859,0.9925798570265134,0.9906972543352601,0.9815775353246289,7,124,82,10969,11093
Logistic Regression,0.205,0.9888167388167388,0.9921274092842277,0.9904693075568002,0.9811303881237703,7,124,87,10964,11088
Logistic Regression,0.206,0.9888167388167388,0.9921274092842277,0.9904693075568002,0.9811303881237703,7,124,87,10964,11088
